p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
7.896034,6.395860,7.287855,7.437497,6.489542,6.645628,6.776162,4.708149,7.371039,6.134773,3.179929,4.580357,2.901129,2.058886,2.641552,2.939660,4.649326,0.886454,2.187385,1.892665,zero 
8.724757,7.603785,7.863495,7.674656,8.798631,7.609968,7.780221,8.240649,7.915941,8.039514,3.060360,4.387462,1.611783,2.827035,4.333594,3.245152,2.801250,5.609073,3.668600,5.459855,zero 
8.256184,3.469987,6.455699,6.460668,6.832263,6.036898,6.775726,6.345011,6.662319,6.542488,2.307797,0.603351,1.473709,1.938182,1.089564,2.056741,1.759967,1.898043,1.095413,1.855076,zero 
5.978028,8.274844,8.307512,8.439438,8.679076,7.812628,7.353022,7.967105,8.435646,8.195394,1.441799,6.266915,2.084509,2.012131,2.532166,2.076653,2.409289,3.418242,2.175750,2.833526,zero 
7.911157,6.961037,7.038794,7.924700,5.895503,6.983056,6.956655,6.818578,7.579491,6.591008,2.747972,5.203634,2.362623,2.003590,1.167736,2.826610,2.894855,2.134597,2.026012,1.720879,one 
8.642069,3.434816,6.584626,6.514062,7.073254,6.422122,7.241162,6.538665,6.485954,6.642114,2.109764,0.666236,1.491817,1.728378,1.212452,1.765759,1.926974,1.620862,1.025700,1.665632,zero 
8.508739,6.754431,7.799947,7.215248,6.195289,6.632583,7.488377,6.453429,7.251872,6.308933,3.376734,4.663931,2.381432,2.073227,1.539927,2.487542,3.302222,2.238223,1.502516,2.244134,one 
8.442029,6.485940,7.679432,7.211820,6.412866,6.524452,6.559327,6.889794,7.190735,6.168927,3.715199,4.198167,2.448930,2.645640,2.178245,2.664500,3.514784,2.952842,2.407981,2.095528,zero 
8.017423,6.749390,7.390506,8.803125,7.807485,8.135518,7.529841,8.170923,8.174407,7.616316,3.301393,5.997020,3.221045,3.057234,2.234555,1.693141,3.065082,3.929274,2.388826,3.599199,zero 
8.014345,6.416677,8.036170,8.379612,6.666327,7.249751,7.119582,6.517895,7.367092,6.373294,3.496909,5.976225,3.138346,2.540264,2.312222,3.027037,4.210711,1.517465,2.308900,1.588065,zero 
6.320702,7.778322,8.404092,7.940342,8.892897,7.637403,8.811459,9.028883,8.328988,9.367346,1.186456,6.262248,1.987904,2.152996,2.922374,2.435811,2.903327,3.709169,2.556728,2.839170,zero 
7.683572,5.622532,7.270363,7.720134,7.080262,7.687801,7.707740,7.687028,7.538313,7.496454,2.276966,6.437104,2.905408,2.855216,3.685917,2.725679,1.526365,4.273983,3.133492,3.890364,zero 
7.772084,7.043827,7.161270,7.580274,5.182362,6.204300,6.335850,5.771022,6.563266,4.739655,3.124822,3.975988,2.733405,2.018697,1.732573,2.664532,3.485688,1.277377,1.804789,1.049420,zero 
6.096370,8.159832,8.298464,8.348710,8.117780,7.382558,8.114702,8.310795,7.960844,7.869161,1.403883,5.700000,2.167662,1.799878,2.641463,2.324132,2.748883,3.093746,1.855151,2.691015,zero 
8.579344,4.370147,6.987670,6.644162,7.460392,6.536863,6.945247,6.558339,6.725693,6.599405,2.665490,0.975894,1.808318,1.706888,1.922252,1.841194,1.978561,2.731265,1.567262,2.663990,zero 
8.006187,6.794981,8.023153,7.143597,7.610308,7.149178,8.019014,7.201420,7.844083,7.325341,2.933679,5.125058,2.427201,1.909247,3.623248,1.822598,3.108262,4.631374,2.460398,4.554479,zero 
7.810316,6.906622,6.947955,7.716454,5.933882,7.082888,6.780943,6.526717,7.238053,5.946101,3.154898,5.472886,3.018319,2.218899,1.676747,2.746647,3.587621,1.717288,1.994994,1.251490,zero 
7.903390,6.529313,8.032960,7.590134,7.333031,7.301198,7.056282,5.876247,7.913636,6.950469,3.310541,5.906116,2.835050,2.091854,2.817783,2.861949,4.856887,1.084287,2.791347,2.418042,zero 
9.749863,6.532952,9.280588,8.430863,8.978386,8.831368,7.993258,8.629989,9.105039,8.100425,3.450068,7.386822,2.163669,2.445911,3.804748,2.191722,4.345594,4.925490,2.518738,5.320475,zero 
7.847832,6.559833,6.871345,6.808238,4.689071,5.874608,6.329304,6.078761,6.763193,5.047298,3.062799,3.780270,2.239323,1.956238,0.891144,2.383819,2.930982,2.000461,1.553705,1.633128,one 
8.308472,6.940620,7.970865,7.276580,6.853209,6.668980,7.611725,5.954570,6.802719,6.027507,2.759024,3.614017,2.451535,1.765091,1.463705,2.216613,3.394550,1.560976,1.605313,1.290599,zero 
8.080629,7.126042,7.190101,7.016707,6.419678,6.507140,5.671314,7.377382,7.099071,6.399500,2.536474,4.418989,1.936956,1.627229,2.868571,1.767834,1.085345,3.798748,1.997689,3.508603,zero 
8.332865,4.940467,7.179747,7.903158,6.707244,7.731906,7.091276,7.309654,7.559460,7.137066,2.825912,6.071690,2.658684,2.879808,2.571332,3.008814,1.558701,3.017369,3.192825,3.127395,zero 
