p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
8.579290,5.921300,7.561027,8.663992,6.988433,7.481338,7.097934,7.565919,8.857567,7.515957,2.779007,6.157396,3.097369,3.772061,2.925789,3.792319,2.940061,3.447503,2.275088,3.758200,zero 
9.174288,6.417053,9.629782,9.248162,9.206431,9.053895,9.143719,9.671988,9.645925,9.755930,3.836642,7.942295,3.907552,3.876687,2.414108,3.913064,4.888689,2.733807,4.366677,2.569936,zero 
8.669005,5.494585,7.457116,7.761841,6.255041,7.101911,7.061408,7.340915,7.677446,6.633174,2.515490,4.207794,1.758233,2.088498,1.447507,2.149232,2.253918,1.991455,2.016869,2.089785,zero 
6.872113,8.032792,9.576028,10.053399,8.608307,8.766594,7.794155,8.926037,9.551760,8.811073,1.575946,7.705985,2.343888,2.913144,2.327607,2.688138,2.718329,2.101397,3.043459,2.278900,zero 
8.488832,6.769596,6.965541,7.945294,7.205731,7.006521,6.682342,6.228742,7.452585,6.292751,1.984377,4.069547,1.284985,2.229337,2.108027,2.824520,3.301913,2.314660,3.133282,3.309387,one 
9.040416,5.900899,7.595521,8.155215,6.370459,7.631695,7.290342,7.909005,7.860152,6.836127,2.250358,4.724172,1.764743,2.261192,1.261110,2.135131,1.822442,2.116842,1.900591,2.214257,zero 
9.208489,5.763113,7.740999,8.340910,7.735446,7.517562,7.271800,7.627973,7.883026,7.687079,2.290208,5.219801,1.639977,2.412627,2.495517,2.810383,3.025836,2.627940,2.462826,3.440035,one 
8.957808,6.085872,8.181244,8.258469,6.164517,6.977133,6.974828,7.335785,7.550670,6.226113,3.423780,4.695530,1.797772,2.712331,2.673319,2.685182,3.365732,3.115032,2.815247,2.951846,zero 
8.399633,7.616950,8.356780,8.534791,8.073089,8.958908,8.435175,8.061066,9.340260,7.755236,2.166118,6.892748,2.375606,1.627655,3.431650,1.994542,3.802319,3.832051,3.030249,3.952479,zero 
8.538240,6.038100,7.716149,8.912984,7.388507,7.950670,6.843596,7.652146,8.179886,7.403289,2.669361,6.197121,3.255078,3.635216,2.977156,2.861464,3.098165,3.518825,2.084599,3.274510,zero 
7.147380,7.199575,9.126215,8.852617,9.525244,8.109065,9.143665,8.686272,8.896956,9.351477,1.045832,7.125100,2.180126,3.346315,3.059142,2.764191,3.348825,3.551651,3.697533,2.930050,zero 
7.784964,6.023594,7.883699,7.427329,7.743556,7.049461,7.201142,7.631555,6.866852,7.323455,2.585784,5.841315,2.376873,2.717841,3.197351,3.087505,3.708565,2.299308,3.279990,3.062073,zero 
8.589059,5.584395,7.951540,8.583031,6.828654,7.332311,6.869297,7.360283,7.962732,6.913499,2.377719,5.549078,1.846275,3.174795,2.072371,3.248669,2.533287,2.586020,2.987011,3.152512,zero 
7.051898,7.333917,8.743835,9.435669,8.655466,8.140158,8.508284,7.940494,8.707069,8.075595,1.030917,6.514066,2.372553,2.974743,2.877894,2.592390,1.786003,3.339683,3.707007,3.710173,zero 
9.155542,5.841875,8.596543,8.132001,6.594367,7.519758,7.310592,8.603352,8.362675,7.237494,2.807842,5.907771,2.251993,2.932488,1.384056,2.789397,2.748629,1.722446,2.829839,2.365350,zero 
