p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
7.933899,5.623524,7.184007,8.077295,6.718676,7.009531,6.711544,7.086254,8.385321,7.090103,3.197278,6.068241,3.280310,3.992264,3.086572,4.102663,3.180556,3.791463,2.450020,3.925456,zero 
8.687897,6.475095,9.299109,8.981783,8.978894,8.650061,8.708175,9.452794,9.304525,9.449841,4.135526,7.616015,4.005526,3.827726,2.658926,4.344926,5.065685,2.661305,4.334162,2.755140,zero 
7.780288,5.076032,6.994322,7.239006,5.948241,6.659186,6.567794,6.795212,7.183098,6.207815,3.217843,4.274756,2.015156,2.199839,1.660396,2.413596,2.469444,2.449992,2.074509,2.323408,zero 
6.747204,8.300419,9.309026,9.695656,8.414663,8.585472,7.634135,8.745070,9.228954,8.604635,2.243964,6.971862,2.624948,3.063465,2.823700,3.019924,3.176598,2.483617,3.268225,2.723954,zero 
7.729554,6.311858,6.637045,7.383018,6.836240,6.499034,6.111672,5.953314,6.947934,5.987022,2.811297,4.275914,1.702542,2.696447,2.464117,3.376596,3.723568,2.614497,3.377762,3.433319,one 
8.240689,5.650534,7.170937,7.659629,6.131589,7.247406,6.874161,7.481125,7.452635,6.434946,2.950343,4.609945,2.136453,2.405326,1.590749,2.348256,2.112271,2.311600,1.898624,2.566125,zero 
8.443494,5.468273,7.368624,7.806190,7.415314,7.020627,6.785763,7.178833,7.498141,7.160894,3.091667,5.263512,2.127588,2.884022,2.705973,3.433424,3.451134,3.136269,2.634826,3.849779,one 
8.176393,5.531349,7.784797,7.753483,5.934869,6.661071,6.440926,6.938799,7.147597,5.887836,3.934936,5.047014,2.117326,2.956488,2.965623,2.985128,3.791559,3.373820,2.987508,3.334846,zero 
7.928054,7.707033,8.101370,8.296929,7.854540,8.690241,8.017990,7.933511,9.063738,7.581841,2.860470,6.363583,2.740054,1.982964,3.632840,2.448690,4.152757,3.782482,2.976448,4.027182,zero 
7.978294,6.161011,7.424608,8.460082,7.228500,7.663540,6.611692,7.509527,7.874385,7.236537,3.269044,5.852328,3.516480,3.822152,3.156590,3.254130,3.410434,3.491365,2.432964,3.402248,zero 
6.969094,6.989396,8.864136,8.656435,9.143463,7.981788,8.822452,8.442857,8.658033,9.085255,1.644189,6.977002,2.392435,3.159920,3.390634,2.951223,3.490178,3.653813,3.605700,2.980375,zero 
7.297484,5.677864,7.473368,7.158593,7.203071,6.773915,6.786631,7.205734,6.620539,6.938707,2.962740,5.893954,2.877332,2.772409,3.842978,3.408786,4.004854,2.978435,3.379159,3.496942,zero 
