p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
6.374176,6.288798,6.306454,6.417770,6.193970,6.370287,6.332587,6.287712,6.414555,6.332484,2.818770,2.668394,2.746374,2.739531,2.758735,2.811061,2.763388,2.720706,2.725460,2.787948,zero 
8.582868,8.476172,8.479778,8.500190,8.404945,8.417876,8.510511,8.444363,8.430769,8.426317,2.661028,2.592005,2.687160,2.752912,2.659464,2.686265,2.764646,2.668704,2.806785,2.707068,zero 
5.453132,5.100765,5.227996,5.310490,5.032814,5.309209,5.192895,5.289310,5.316305,5.213421,1.506558,1.275276,1.328751,1.370657,1.345582,1.321879,1.379438,1.308619,1.294446,1.355715,zero 
9.255618,9.472335,9.194898,9.248352,9.325455,9.162694,9.249682,9.138669,9.242628,9.196670,1.491657,1.367404,1.401940,1.490171,1.295579,1.426242,1.454849,1.339831,1.380908,1.359878,zero 
6.549228,6.612727,6.503070,6.553490,6.529012,6.539339,6.476156,6.413458,6.528519,6.470007,1.346016,1.294018,1.276861,1.450186,1.330041,1.429590,1.318055,1.224785,1.413775,1.392300,one 
6.386929,6.032655,6.067565,6.141334,5.870159,6.096829,6.058242,6.175794,6.139675,6.028245,1.306912,1.148991,1.204208,1.200703,1.217252,1.299230,1.218076,1.177136,1.125495,1.207728,zero 
7.076366,7.039071,6.976845,6.992469,6.822839,6.997512,6.960241,6.846379,6.984487,6.819258,1.551694,1.358505,1.297604,1.479464,1.434393,1.363919,1.384261,1.432279,1.485897,1.464209,one 
6.999961,6.901082,6.723017,6.843433,6.637763,6.759780,6.757495,6.750666,6.801480,6.607817,1.933201,2.087654,2.010879,2.054590,2.010573,2.046184,2.001100,1.976316,2.074431,1.962292,zero 
8.580795,8.611838,8.420292,8.376784,8.551520,8.406808,8.411872,8.326902,8.299495,8.315031,1.717355,1.658233,1.730992,1.914916,1.675910,1.737102,1.731152,1.668415,1.824545,1.818128,zero 
8.238951,8.309157,8.001927,8.016642,8.022172,7.980033,7.952111,7.982582,8.019957,7.958909,2.502715,2.441694,2.539425,2.466941,2.456367,2.413773,2.444555,2.487581,2.455199,2.405508,zero 
