p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
5.721202,8.925692,8.699168,8.498489,9.147526,7.848892,7.860754,8.953258,8.554777,8.810234,1.149097,6.086995,1.778618,1.737696,2.500220,2.159659,2.264502,3.421531,2.073505,2.588301,zero 
7.103007,8.540078,9.402811,9.244090,10.275719,8.846089,9.919954,10.065641,9.614677,10.576311,1.401595,7.540302,2.340197,3.235275,3.006848,3.092609,2.766054,4.448398,3.029551,3.319801,zero 
6.358865,6.877557,7.568434,7.088679,8.424102,7.420155,8.343090,7.789397,7.878071,8.508794,1.355780,6.166166,2.172552,2.276007,2.656516,2.307513,2.562860,3.647249,2.720051,2.625828,zero 
7.349994,8.570937,9.528650,8.568910,9.406574,7.925717,8.797302,9.307695,9.222539,9.345368,1.792367,7.140247,3.770071,4.244656,3.860160,3.388866,4.863346,4.745653,2.867101,4.218411,zero 
7.247591,9.039498,8.783747,8.418547,8.912352,8.307822,8.542154,8.494394,8.863207,8.441812,1.825557,5.689353,2.037947,2.002735,3.529862,2.221465,2.342488,4.304900,2.229814,3.656905,zero 
8.111242,10.492794,11.092687,10.654478,11.893390,10.501424,11.123756,10.731622,10.367994,11.462262,1.676045,8.269612,2.804826,3.164816,3.360037,2.880921,4.900503,4.512731,4.154486,3.593636,zero 
6.189096,7.572576,7.477949,7.131088,7.408853,6.348458,6.731063,7.611850,7.244688,7.539610,1.274131,5.218704,1.684825,1.824483,2.683852,2.627608,3.021186,3.391035,1.820445,2.880356,zero 
6.132614,6.588456,7.436182,7.018290,7.239487,6.640264,7.363243,6.843726,7.398392,7.212807,1.077140,5.312449,2.404715,2.120343,3.174291,1.816528,2.318999,3.552176,2.348636,2.913432,zero 
6.971905,8.493125,7.936587,7.131186,7.752618,6.707013,7.103517,7.278670,7.166881,7.096047,1.739068,4.079988,2.206435,1.752729,2.502189,1.936389,3.522519,2.771767,1.761281,2.827619,zero 
5.546038,7.110873,8.272292,7.796200,8.452516,7.192686,8.271159,8.294938,8.228435,8.318162,1.152864,6.680071,1.895024,2.476902,3.118017,2.772894,2.944591,3.733775,2.425425,3.120372,zero 
5.733184,8.773442,8.530395,8.389765,9.080519,7.573592,8.245373,8.787645,8.215353,8.701286,1.328868,5.688242,1.970723,1.762126,2.475582,2.495509,2.470078,3.594242,2.074234,2.681296,zero 
7.649025,7.792280,7.236406,6.972592,7.329234,6.630772,6.114094,6.985373,6.767754,6.699857,1.563746,4.212285,1.804313,1.793020,2.141532,2.016192,2.466323,2.868417,1.858670,2.826493,zero 
5.963703,9.494089,8.541811,8.378665,9.238191,7.868796,8.084900,9.057697,8.422530,8.957889,1.578351,5.826526,2.178868,2.178281,2.625319,2.626969,2.851683,4.143550,2.432442,3.207124,zero 
5.729397,9.246427,9.812083,9.147556,9.997450,8.585793,9.792635,9.433241,9.097843,9.705779,1.324998,7.089563,2.197656,2.282346,2.908586,2.234104,3.630261,3.718297,2.528502,2.666624,zero 
6.354570,7.987517,9.235988,8.976016,9.104315,8.505157,9.510898,9.333838,9.250251,9.286898,1.273983,7.601032,2.104928,2.943349,3.480478,2.599814,3.107153,3.961040,2.699919,3.400648,zero 
6.381397,7.295093,8.903040,8.825299,9.390343,8.266763,9.082044,8.124405,8.670810,8.830573,1.767201,7.457705,2.418472,3.108032,3.313422,2.970816,3.272961,4.214672,3.669319,3.464627,zero 
6.981819,8.627030,7.811191,8.046164,7.796025,7.024756,6.400091,7.632579,7.667230,7.531495,1.568946,5.147723,1.828119,1.978928,2.114420,2.680312,2.817259,3.671141,1.933989,3.392810,zero 
7.589918,7.350866,8.972179,8.409765,8.618899,7.818000,8.566330,8.458068,9.209579,8.945767,1.413262,6.987139,2.748286,3.582459,3.968520,3.297621,3.754605,5.021150,2.813234,4.348751,zero 
6.538782,7.565001,7.607381,7.103181,7.979562,7.335815,7.909783,8.027571,7.719737,8.090614,1.332827,5.762378,1.932029,1.834032,2.536338,2.052909,2.506269,3.177812,1.983584,2.491582,zero 
5.430600,6.675818,7.805490,7.357362,7.468308,6.542052,7.516190,7.029436,7.630551,7.059196,0.998154,5.873819,1.797370,1.744941,3.082192,2.232918,2.550781,3.512225,1.985648,2.944789,zero 
7.331401,7.994594,7.716373,7.186473,7.539936,6.737450,6.744699,7.383099,7.121682,6.835305,1.452162,4.751362,2.320430,1.604887,2.217185,1.860433,3.203139,2.445833,1.536501,2.559495,zero 
5.744187,8.420053,8.604494,8.521213,8.909672,7.678211,8.468265,8.824821,8.405159,8.742476,1.400157,6.050109,1.793689,1.879038,2.946401,2.460944,2.395987,3.903889,2.177779,2.807931,zero 
5.324731,8.723876,8.563165,8.562581,9.552652,8.050494,8.630689,9.110116,8.401717,9.244996,1.183513,6.331761,1.899060,1.964516,2.551392,2.310627,2.474674,3.503565,2.487976,2.457903,zero 
5.098399,8.621618,8.647662,8.747640,9.404538,7.970899,8.613970,8.766706,8.592919,9.153006,1.220475,6.574956,1.897026,1.880447,2.453706,2.356706,2.581348,3.959671,2.534077,2.531448,zero 
7.370310,9.779087,10.740927,10.041468,11.364228,9.362772,10.747362,10.610287,10.212713,10.935179,1.412689,7.562080,2.509364,3.176682,3.278280,3.132422,4.096135,4.438890,3.119159,3.677808,zero 
8.526229,8.370874,9.764620,9.213110,9.581457,8.597893,10.384804,8.801363,9.524295,9.188008,1.413957,6.929304,2.745988,3.375811,4.188265,2.861169,4.060790,5.341235,2.680047,4.770824,zero 
7.826738,7.126655,7.567560,7.891699,7.662072,7.307442,7.625410,7.386416,7.777284,7.228855,1.889232,5.558977,3.535580,2.665706,3.664079,2.750497,3.910308,4.199299,2.658917,3.815150,zero 
6.123004,8.248812,8.307377,7.747878,8.549345,7.556358,8.446841,8.010662,7.820797,8.121148,1.267869,6.086259,2.133426,1.732467,2.472176,2.203570,3.228330,2.930126,2.265347,2.230709,zero 
5.290670,8.397099,8.090104,8.257527,9.076757,7.705338,8.365703,8.937015,8.260418,9.084390,1.342324,6.123686,2.047346,2.133590,2.735855,2.432650,2.365644,3.700752,2.374407,2.545616,zero 
6.021561,8.199109,8.822884,8.518926,9.479357,8.536889,9.027266,9.073988,8.664405,9.249611,1.502942,7.070056,2.459983,2.134107,2.736194,2.196926,3.353835,2.912156,2.599424,2.563502,zero 
6.998906,7.415593,8.140685,8.793728,8.581617,8.250514,8.865466,8.352362,8.865612,9.056150,1.791301,6.664800,2.497000,2.502010,3.610381,2.950613,2.519386,4.701597,2.864386,3.856000,zero 
5.686362,7.992334,8.620532,7.833270,8.385649,7.265411,8.585699,7.736192,7.994521,7.989484,1.341232,6.244790,2.093680,1.641666,2.732108,2.109871,3.394971,3.605173,1.979974,2.551262,zero 
6.915282,8.965647,7.517500,7.729667,7.868331,7.220788,7.114168,7.459560,7.523230,7.187992,1.622331,4.428979,2.046189,1.849995,2.443571,2.320784,2.967655,3.456946,1.878436,2.955155,zero 
6.716000,9.706911,8.882226,9.155403,9.156690,7.878343,8.583583,8.864293,8.617687,8.847080,1.522652,5.619113,1.859731,1.910835,2.622908,2.953609,2.898166,4.144709,2.041276,3.446059,zero 
7.331689,6.544273,7.167013,7.348585,7.581704,7.220871,7.966506,7.458261,7.841355,7.748972,1.378293,5.258551,2.650241,2.260441,3.330410,2.475201,2.693388,3.944287,2.388773,3.610521,zero 
7.771922,9.240383,8.707525,8.354023,8.734294,7.865652,8.212865,8.622943,7.771968,8.278690,1.824578,4.853151,2.005570,2.033772,2.148912,2.575868,3.138038,3.185745,1.872256,2.932178,zero 
8.614115,8.554599,8.018063,7.711889,8.360311,7.854105,7.509251,8.481430,7.313840,7.789676,1.772136,4.080663,1.728727,1.836425,2.014911,2.049459,2.947608,3.123207,1.774696,2.734912,zero 
5.912369,9.348225,9.272287,8.768310,9.638592,8.376960,8.633605,9.094675,8.860030,9.197962,1.409092,6.417942,1.994590,1.804949,2.856657,2.039288,3.124273,3.966100,2.312830,3.250902,zero 
6.362445,7.715027,8.708753,7.686929,8.243285,6.682022,7.946976,8.204886,7.956208,8.082726,1.614205,5.489146,2.377485,2.037478,2.613268,2.878776,3.917678,3.293207,1.909697,2.934881,zero 
6.859686,7.833764,7.842048,8.590263,7.758618,7.168669,7.270591,7.276344,8.286092,7.654770,1.588654,5.402438,1.849663,1.749993,2.619842,2.950210,2.903953,4.127693,2.132305,3.550262,zero 
5.627869,8.400214,9.229433,8.456334,9.414787,7.702276,9.032170,9.378328,8.605741,9.262048,1.352794,6.802548,1.982899,2.524321,2.776818,2.636320,3.456036,3.227833,2.443632,2.577450,zero 
5.933843,8.077683,7.718737,7.592881,8.052858,6.929182,6.959312,7.691372,7.378213,7.468768,1.278241,5.100367,1.901131,1.618456,2.406448,2.087738,2.393239,3.460958,1.817201,2.861383,zero 
6.054219,7.421131,7.322242,7.012642,7.646494,6.394640,6.776827,7.641240,7.102083,7.478081,1.249464,4.943155,1.815676,1.922009,2.462246,2.285370,2.348137,3.255482,1.859471,2.448016,zero 
6.084750,8.604455,9.510720,9.288126,10.160025,8.113206,9.352213,9.697176,9.065131,9.857368,1.677369,6.706400,2.166163,2.774311,2.776610,2.997525,2.745323,3.989050,3.099374,2.951502,zero 
7.197895,8.275926,8.781356,8.787827,9.647836,8.940977,10.205284,9.104771,8.950958,9.788165,1.334470,6.896612,2.238007,2.075262,3.236800,2.090907,2.651386,4.423128,2.868973,3.219564,zero 
