p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
6.738517,8.112339,8.731484,8.845627,8.880491,8.469165,8.503740,8.874722,8.794945,7.221253,4.410384,4.167060,2.985327,2.273226,2.422667,2.455824,2.678315,3.012017,2.730256,2.673264,zero 
7.021450,7.973136,8.592022,8.825212,8.997134,8.751762,8.906362,9.113962,9.006512,7.511085,4.679001,4.496839,3.360165,2.683548,2.735157,2.734458,2.970236,3.352306,3.081568,2.955612,zero 
7.021746,7.669119,8.175148,8.343873,8.546704,8.394154,8.571780,8.695935,8.611615,7.223893,4.605888,4.527127,3.576354,2.945379,2.928233,2.921504,3.245203,3.524635,3.194477,3.105609,zero 
7.430576,8.164319,8.610435,8.611313,8.659390,8.434347,8.580969,8.793010,8.731236,7.253418,4.676439,4.634396,3.841374,3.294155,3.275803,3.237700,3.645241,3.801651,3.365164,3.485524,zero 
7.871539,8.793387,9.213667,9.198767,9.244154,9.016246,9.050601,9.164210,9.069270,7.509773,4.779105,4.562495,3.562306,2.993428,3.137026,3.091820,3.512651,3.794073,3.427420,3.537314,zero 
7.908874,8.932823,9.431777,9.490597,9.564983,9.294496,9.294144,9.350252,9.214029,7.690858,4.856983,4.623539,3.465357,2.792273,2.959614,3.094487,3.616755,3.813098,3.458597,3.384812,zero 
7.015142,7.771749,8.147712,8.133666,8.075343,7.793060,7.876976,8.065414,7.987770,6.628427,4.159415,3.980341,3.011109,2.445593,2.667245,2.793547,3.168866,3.281776,2.922369,2.946873,zero 
6.619586,7.168355,7.443418,7.354132,7.248020,7.031505,7.132827,7.268845,7.217278,5.937128,3.705583,3.548641,2.809689,2.321688,2.493930,2.463341,2.762685,2.920635,2.623550,2.739609,zero 
6.743861,7.427925,7.686603,7.546871,7.459873,7.211976,7.312217,7.444618,7.336241,6.029022,3.775640,3.533161,2.777095,2.291188,2.456616,2.520001,2.862203,2.882281,2.554366,2.722667,zero 
6.442401,7.440936,7.968854,7.986406,7.941397,7.642059,7.803326,8.008866,7.860161,6.448457,4.046711,3.866260,2.890812,2.339346,2.563471,2.675599,2.936164,3.016156,2.679569,2.779170,zero 
6.665608,7.663721,8.070805,8.093016,8.061188,7.689386,7.760928,8.014023,7.866103,6.466674,4.016240,3.738540,2.757366,2.166725,2.373350,2.515062,2.751263,2.917153,2.606447,2.677960,zero 
7.148506,7.867105,7.956838,7.869595,7.845480,7.454256,7.389153,7.665698,7.557532,6.235359,3.883852,3.511088,2.637153,2.092550,2.237213,2.389669,2.681627,2.856315,2.578711,2.707048,zero 
6.965341,8.203749,8.542603,8.486428,8.497850,8.133981,8.153289,8.404736,8.258366,6.837036,4.266899,3.943218,2.939876,2.309155,2.437421,2.588006,2.976086,3.186214,2.826091,2.853126,zero 
6.731300,8.283617,9.060973,9.120506,9.110113,8.860513,9.038563,9.151022,8.933629,7.376540,4.640723,4.495728,3.298277,2.583309,2.705627,2.776865,3.203436,3.384604,2.976943,2.901646,zero 
6.732840,7.942131,8.865982,9.078225,9.043389,8.877360,9.073345,9.104037,8.918492,7.353747,4.741943,4.760280,3.516786,2.858815,2.980911,2.936364,3.257781,3.502016,3.215994,3.171228,zero 
6.865314,7.718076,8.473502,8.725964,8.669896,8.388562,8.401294,8.443708,8.393893,6.984848,4.597190,4.587104,3.435456,2.824306,2.939623,2.977122,3.270752,3.559966,3.353559,3.350918,zero 
7.226840,7.823783,8.230347,8.310465,8.151933,7.769064,7.707324,7.959728,8.034100,6.655320,4.294342,4.170124,3.193157,2.656586,2.795074,2.948933,3.276324,3.487145,3.181537,3.376913,zero 
7.286953,7.706209,8.099817,8.136402,8.034963,7.800361,7.889163,8.150506,8.206468,6.762258,4.299098,4.232871,3.326247,2.838786,2.991953,3.034867,3.347597,3.548227,3.164703,3.386955,zero 
6.765104,7.293054,7.686044,7.703069,7.704119,7.587518,7.754989,7.906857,7.837348,6.430179,4.070955,4.006448,3.022186,2.446045,2.642279,2.645310,2.906391,3.090407,2.741618,2.853946,zero 
6.450189,7.094931,7.510988,7.484691,7.385814,7.185089,7.316310,7.449519,7.342783,5.947183,3.764061,3.727812,2.759826,2.140984,2.382164,2.429785,2.683442,2.777025,2.445691,2.590707,zero 
6.808046,7.496502,7.794897,7.717203,7.589935,7.292832,7.367367,7.567039,7.417955,6.014725,3.790891,3.650726,2.732091,2.082815,2.273568,2.393058,2.692284,2.697133,2.344846,2.506456,zero 
6.583525,7.765819,8.287979,8.350911,8.310501,7.967842,8.076207,8.301706,8.113987,6.662943,4.143038,3.883650,2.806960,2.148899,2.378518,2.463628,2.720465,2.918075,2.569716,2.557226,zero 
6.253882,7.836896,8.566659,8.765559,8.833703,8.456251,8.544556,8.743251,8.563142,7.092565,4.373232,4.113828,2.919445,2.194880,2.393252,2.482693,2.759615,3.085387,2.755476,2.570816,zero 
6.550295,8.167989,8.991679,9.216558,9.289560,8.896989,8.992918,9.149050,8.993642,7.459930,4.599951,4.381638,3.162011,2.405139,2.552530,2.692516,3.073201,3.387255,3.010134,2.816323,zero 
7.606879,8.796090,9.583068,9.763948,9.798735,9.483326,9.680523,9.731134,9.536058,7.870595,4.864444,4.707042,3.603686,2.968336,3.091869,3.190985,3.668409,3.893485,3.451879,3.482513,zero 
8.106090,8.548600,9.081942,9.221590,9.172971,9.011970,9.236979,9.151062,8.961951,7.346013,4.642551,4.624363,3.780983,3.271472,3.403320,3.381910,3.883126,4.088057,3.612657,3.883044,zero 
7.599598,7.837429,8.151427,8.264126,8.209817,8.076268,8.202940,8.150315,7.987341,6.555930,4.263839,4.302127,3.578622,2.972339,3.089491,3.127245,3.566820,3.664610,3.232401,3.409209,zero 
6.789433,7.635306,8.035430,8.111245,8.155253,7.974938,8.089156,8.114978,7.916030,6.544052,4.189743,4.115955,3.169320,2.435489,2.568916,2.700691,3.051607,3.114394,2.737760,2.667883,zero 
6.374604,7.640618,8.228807,8.402805,8.536209,8.303551,8.423510,8.549585,8.352672,6.954953,4.391525,4.219193,3.107673,2.343385,2.472458,2.555786,2.830558,2.990933,2.675239,2.526201,zero 
