p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,label
5.847122,8.211217,8.825033,8.596593,8.876459,7.830356,8.498557,9.001899,8.553396,8.045189,2.822303,5.753792,2.758535,2.409505,2.641515,2.97626,3.115974,3.014345,2.473632,2.810628,zero 
6.283031,8.152817,8.267517,8.251584,8.720492,7.782747,7.766692,8.461919,8.388835,7.903984,2.754467,5.185856,2.378851,2.046108,2.746408,2.556617,3.269666,3.543231,2.522054,3.097309,zero 
6.564505,7.841126,8.124857,8.1795,8.092711,7.150865,7.388476,7.964749,8.187094,7.497484,2.464798,4.634852,2.022935,1.833489,2.743252,2.859282,3.266307,3.864742,2.372321,3.27246,zero 
6.869829,7.990658,7.725249,7.751647,7.824801,6.993043,7.132183,7.879084,7.695508,7.273412,2.643976,4.310274,2.080433,1.840922,2.607108,2.834091,3.104101,3.499477,2.211518,3.195371,zero 
7.192111,8.296762,8.456914,7.968908,8.379479,7.469233,7.739382,8.421903,7.842955,7.429044,2.647271,4.654413,2.437517,2.039046,2.546735,2.593754,2.792483,2.944179,2.147202,2.774546,zero 
7.206236,7.117772,8.383022,8.435606,8.274357,7.586367,8.093195,8.392439,8.704495,7.733746,2.949378,5.912804,3.609661,3.749307,3.328053,3.33439,3.372975,3.850625,3.305009,3.894825,zero 
7.486121,8.362882,8.876266,9.315808,9.746109,8.774615,9.069243,9.580374,9.434964,8.91372,3.204754,6.278871,3.867022,3.988023,3.66395,3.566248,3.419443,4.260788,3.821508,4.1801,zero 
7.763124,7.819422,8.695302,8.891196,9.07751,8.805704,9.437788,8.707141,9.037895,8.197935,3.190322,6.268042,3.698391,3.832954,4.171788,3.437761,3.188968,4.611335,3.764061,4.527702,zero 
6.678447,7.62413,8.602632,8.482833,8.499171,7.610297,8.098505,8.139725,8.541877,7.709998,2.768398,5.319546,2.645339,2.636795,3.16668,3.044919,3.419695,4.316082,3.065674,3.697922,zero 
5.995017,8.468708,8.945525,8.618993,9.103716,7.813575,8.263194,9.009154,8.703944,8.377128,2.752454,5.182455,2.411465,2.397689,2.923007,2.81679,3.205583,3.994408,2.882521,3.207486,zero 
6.276473,8.152337,8.742944,8.81666,9.395158,8.263038,8.537185,9.059998,8.799973,8.456802,2.761688,5.515806,2.47788,2.478235,2.808234,2.742404,3.349795,4.061293,3.079094,3.425428,zero 
6.94521,7.644808,8.200516,7.774615,8.782181,7.422628,7.719737,8.454916,7.695417,7.731507,2.870933,4.492317,2.435954,2.232348,2.544735,2.726433,3.491054,3.42798,2.516862,3.101441,zero 
7.015743,8.508339,8.391986,8.300285,8.484632,7.390305,7.612768,8.319949,8.056227,7.571748,2.576977,4.142518,2.179627,2.092945,2.631535,2.783082,3.189602,3.646872,2.250748,3.333308,zero 
6.642772,8.527894,8.943697,8.484206,8.501803,7.43951,7.840054,8.675958,8.325821,7.606378,2.933159,4.940183,3.00881,2.936945,3.330972,3.128979,3.922884,3.559657,2.942923,3.676696,zero 
6.454062,7.567191,8.720088,9.039074,8.99006,8.06318,8.196524,8.563217,8.434208,7.731338,2.814639,5.825593,2.726314,2.80857,2.913975,2.950029,3.191865,3.718432,3.836695,3.74762,zero 
7.608892,7.877632,8.775879,9.462496,8.794055,8.483808,8.332671,8.444362,8.694537,7.490229,3.40829,6.151171,3.493587,3.679857,3.39781,3.738294,3.353203,3.752617,4.013321,4.296588,zero 
7.539994,9.189983,10.12975,10.2739,10.411344,9.648888,10.065866,9.892239,9.88144,9.229183,3.432091,6.546257,3.346706,3.204729,3.495107,3.172925,3.831151,4.36907,3.813748,4.17683,zero 
7.220816,7.413973,8.738453,9.455619,8.959915,8.705928,8.418078,8.679135,9.059971,8.249746,3.30915,6.30745,3.572265,3.146106,3.066367,2.732221,2.981944,3.274246,3.313539,3.479155,zero 
7.996322,7.813707,8.389873,8.703153,9.165587,8.623044,9.136652,8.893754,8.953021,8.53512,3.212589,5.94513,3.68597,3.648452,4.03756,3.31778,3.179486,4.573064,3.853563,4.395502,zero 
6.556444,7.952487,9.021984,9.320583,9.32513,8.608926,9.009314,9.129039,9.239985,8.589555,3.331492,6.400041,3.531565,3.483752,3.478486,3.218116,2.928829,3.662832,3.325937,3.426654,zero 
6.514308,7.768305,8.243622,8.267507,8.042417,7.31543,7.636778,8.250679,8.215559,7.600433,2.659189,5.058236,2.471469,2.261612,2.802925,2.943523,2.85393,3.515912,2.521177,3.347253,zero 
7.307154,7.949427,8.045645,7.808539,7.93287,7.072118,7.43523,7.745293,7.485175,6.986975,2.80342,4.357254,2.508613,2.241357,2.602756,2.970146,3.244257,3.072679,2.380739,3.156099,zero 
7.413787,9.684261,10.21458,10.207493,10.224891,9.561637,9.846748,10.137251,9.936396,9.263687,3.504146,6.316842,2.99498,2.67235,3.126678,2.898251,3.299498,3.641955,3.287722,3.558581,zero 
6.909845,9.438581,10.167586,10.336732,10.488919,9.56226,9.905023,10.168843,9.992128,9.466447,3.370509,6.373477,2.895023,2.564696,2.811981,2.784653,3.125551,4.06576,3.271814,3.494788,zero 
6.403828,7.696523,7.892416,7.757667,7.856127,7.270078,7.625372,7.972951,7.879475,7.234522,2.57586,5.015286,2.306661,2.0223,2.728271,2.593391,2.948913,3.350177,2.423253,2.928844,zero 
7.521782,8.765089,9.724709,9.689141,10.098855,9.15814,9.909389,9.92869,9.495379,9.36497,3.291477,6.441329,3.120477,2.962736,3.29503,3.259509,3.758654,4.159562,3.765647,3.298238,zero 
7.169186,8.954665,9.734609,9.898821,10.202335,9.398168,9.912611,9.623547,9.489007,9.206909,3.214593,6.481866,3.180762,2.696518,3.11997,2.805611,3.387525,3.930039,3.794038,3.341311,zero 
7.272434,7.920991,8.436082,8.691608,9.441792,8.951771,9.569396,9.032075,8.843136,8.635223,3.067571,5.974949,3.382329,3.219699,3.323395,2.967974,3.141974,4.023114,3.601434,3.569593,zero 
6.88965,8.307598,9.007078,9.62464,9.6317,8.962638,9.00316,9.229749,8.981292,8.60192,3.392257,6.087486,3.36035,2.950475,2.927582,2.919561,3.198281,3.297765,3.546317,3.1334,zero 
6.767232,8.969678,9.215806,9.009117,9.261216,8.245866,8.50936,9.144672,8.646796,8.229015,2.91101,5.147302,2.679801,2.195428,2.693793,2.848679,3.393607,3.070109,2.455798,2.879577,zero 
7.250375,8.975821,9.541951,10.206443,10.216052,9.594543,9.457952,9.771352,9.64119,9.107459,3.380666,6.255247,2.82527,2.417021,2.754145,2.525832,2.871406,3.459407,3.159082,3.174128,zero 
6.28938,7.53408,8.156535,8.220886,8.027972,7.206072,7.754757,7.88776,8.148101,7.323124,2.559379,4.828169,2.117904,1.988692,2.789735,2.8089,3.019982,3.495383,2.380421,3.074047,zero 
6.111715,8.091839,8.525064,8.478686,8.478762,7.784959,8.362764,8.619551,8.345617,7.89195,2.708204,5.139874,2.431544,2.074488,2.976316,2.657323,2.928419,3.691582,2.526538,3.138946,zero 
6.672279,8.848907,9.770785,9.717332,10.11773,9.311249,9.895337,9.77106,9.50382,9.222055,3.48589,6.386476,3.218649,3.029231,3.259665,2.815031,3.228938,3.508647,3.347329,3.037195,zero 
7.527101,7.369327,8.53393,8.916278,9.417595,8.868033,9.210214,8.961459,9.071618,8.453362,3.20594,6.360054,3.626779,3.551814,3.814266,3.271002,3.196808,3.96011,3.829843,4.103,zero 
7.461879,8.648809,9.766242,10.022142,10.297114,9.426008,10.168939,9.742987,9.485895,9.165764,3.326633,6.491774,3.493583,3.299807,3.402483,3.250808,3.344105,3.960845,4.018777,3.637154,zero 
6.760199,6.944372,7.893622,8.410959,8.204034,7.624714,8.019117,7.715324,7.845063,7.036408,2.649729,5.472222,3.276624,3.41069,3.168255,3.230826,2.725024,3.695313,4.08767,3.913945,zero 
7.079551,7.560543,8.568317,9.543214,8.873072,8.677099,8.051366,8.64514,8.779328,7.748335,3.042609,5.937046,2.809073,2.861208,2.504166,2.568797,2.289354,2.883292,3.346995,3.439617,zero 
7.597719,8.215218,9.306749,10.394379,9.74381,9.562879,8.963507,9.60519,9.600164,8.666788,3.580916,6.718323,3.027153,2.917741,2.627588,2.901514,2.748066,2.879811,3.222765,3.298974,zero 
7.208773,8.866886,9.519495,9.669697,10.201253,9.36592,9.798827,10.153215,9.769771,9.304061,3.033251,6.405257,2.991597,3.05445,2.989799,3.013492,2.825841,3.688778,3.185339,3.23237,zero 
7.012787,8.422307,8.035598,7.737577,7.995144,7.337725,7.576327,7.771206,7.589862,6.854477,2.394538,4.059388,2.146726,1.818822,2.339979,2.231662,2.71928,3.23353,2.001335,2.821037,zero 
7.030672,8.996417,9.734079,9.514675,9.902006,9.170835,9.86195,9.536719,9.364104,8.754715,2.835086,5.901902,2.85432,2.386815,2.82682,2.562903,3.462402,3.556394,2.803668,2.910457,zero 
6.581723,8.342522,9.393598,9.514666,9.916453,8.99668,9.664048,9.562121,9.392196,8.814983,2.944039,6.386608,3.1566,3.230974,3.329098,3.010052,2.898821,3.975619,3.486639,3.668523,zero 
5.979913,8.65639,9.316943,9.422274,9.7848,8.918712,9.269926,9.555094,9.257674,8.82755,2.759395,6.060374,2.782594,2.61025,2.913269,2.644795,2.743951,3.540851,2.910541,2.827093,zero 
5.990161,8.496165,9.155355,9.080864,9.400249,8.339261,8.877065,9.391221,9.140034,8.675617,2.74181,5.850079,2.741952,2.878918,3.038186,3.019242,3.014985,3.809332,2.793483,2.970357,zero 
