p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,label
5.055914,8.659574,8.183211,7.984084,8.7023,7.348971,7.350156,8.549685,8.063852,8.364384,0.634803,5.521558,1.113152,1.100164,1.850135,1.518253,1.744534,2.798226,1.467144,1.932072,zero 
6.407977,8.272708,8.847615,8.730738,9.769859,8.318895,9.387475,9.608241,9.116592,10.066085,0.808541,6.929714,1.727619,2.751988,2.371107,2.465286,2.113493,3.849793,2.433259,2.729773,zero 
5.583266,6.614094,6.916891,6.468046,7.818106,6.764145,7.721319,7.239317,7.31034,7.897334,0.758908,5.380142,1.460785,1.558578,2.01142,1.610574,1.933029,2.947488,2.010834,1.936874,zero 
6.521817,8.202894,8.937042,7.99469,8.833562,7.250693,8.289323,8.774112,8.627765,8.778563,1.305695,6.461024,3.134812,3.66859,3.213575,2.780541,4.158936,4.062781,2.219369,3.592555,zero 
6.641072,8.704063,8.236024,7.858239,8.503656,7.753377,7.972997,8.123637,8.313859,8.025414,1.275544,5.110728,1.40802,1.330146,2.799278,1.582944,1.869985,3.59335,1.611099,2.931243,zero 
7.520614,10.245869,10.646057,10.205873,11.489422,10.06328,10.769956,10.378078,9.986082,11.068977,1.137278,7.752784,2.148404,2.632723,2.715885,2.236156,4.285669,3.862786,3.590968,2.935201,zero 
5.409446,7.196609,6.765342,6.454452,6.784782,5.638868,6.109213,7.023548,6.548054,6.899341,0.72403,4.4913,1.066416,1.182564,2.025816,2.02161,2.359972,2.741404,1.251356,2.272305,zero 
5.335158,6.295417,6.836923,6.378179,6.716674,5.901775,6.682016,6.331693,6.795192,6.640032,0.648231,4.4951,1.650069,1.424822,2.394599,1.175219,1.791123,2.778908,1.665435,2.168729,zero 
6.414648,8.049417,7.404145,6.555895,7.270703,6.118768,6.658016,6.778945,6.572277,6.606202,1.06815,3.542753,1.503309,1.077995,1.793174,1.258207,2.898445,2.142949,1.09682,2.151222,zero 
4.674383,6.874375,7.61663,7.193541,7.919408,6.541091,7.679267,7.7566,7.627752,7.795461,0.633999,5.929676,1.256662,1.896754,2.397355,2.191372,2.360079,3.10451,1.836835,2.398603,zero 
5.015056,8.481256,7.976017,7.822414,8.583399,7.023425,7.70869,8.340185,7.680251,8.214826,0.78413,5.060272,1.321222,1.169279,1.853132,1.87732,1.886821,2.960205,1.473477,2.04568,zero 
7.157672,7.397689,6.713476,6.45717,6.822357,6.101028,5.575336,6.538637,6.223191,6.232198,0.938268,3.655402,1.150212,1.165135,1.594537,1.401939,1.973403,2.275013,1.242019,2.233455,zero 
5.211733,9.142133,7.971924,7.828597,8.719347,7.319438,7.521652,8.619543,7.881232,8.481296,0.852505,5.191833,1.291431,1.289394,1.856759,1.818418,2.215872,3.406171,1.57217,2.399652,zero 
5.014458,9.000894,9.319055,8.653411,9.570841,8.06171,9.353924,9.012137,8.624116,9.262595,0.837349,6.517445,1.510389,1.706235,2.241122,1.708222,3.079573,3.115503,1.980154,1.991168,zero 
5.604986,7.751687,8.657978,8.430973,8.66512,7.914016,8.995867,8.906815,8.726949,8.834984,0.72539,6.964297,1.495256,2.503517,2.689678,2.103953,2.418317,3.23451,2.144266,2.704115,zero 
5.652361,7.037025,8.341417,8.298339,8.904628,7.735185,8.573782,7.690176,8.199547,8.379325,1.123415,6.799718,1.70159,2.458382,2.565017,2.234249,2.642637,3.490161,2.973294,2.735675,zero 
6.380031,8.243447,7.226996,7.508267,7.237098,6.483584,5.849309,7.198982,7.071386,7.068682,1.01753,4.601685,1.186422,1.309206,1.511882,2.04808,2.202693,3.018651,1.367512,2.736209,zero 
6.808186,7.039442,8.316777,7.795241,8.091337,7.146109,8.01097,7.990986,8.590584,8.433069,0.835565,6.253954,2.184319,3.064228,3.208579,2.690819,3.059984,4.278503,2.235309,3.622536,zero 
5.807605,7.26081,6.9573,6.460247,7.383586,6.672275,7.286201,7.44354,7.106003,7.469342,0.762486,5.043663,1.295005,1.179067,1.922003,1.412562,1.930118,2.569166,1.341678,1.891577,zero 
4.604112,6.418804,7.172714,6.711756,6.967913,5.861328,6.916186,6.500522,7.020188,6.519149,0.575568,5.131822,1.150723,1.169852,2.334153,1.689152,2.009317,2.880854,1.414608,2.280974,zero 
6.72641,7.662632,7.174721,6.579138,6.981156,6.101877,6.200742,6.825947,6.506545,6.282128,0.877379,4.052046,1.665573,1.022613,1.648403,1.296391,2.667657,1.841567,0.96935,1.966971,zero 
4.980747,8.097032,8.003958,7.931946,8.412507,7.101164,7.883258,8.362953,7.847307,8.221642,0.775514,5.418641,1.122623,1.214277,2.270514,1.764255,1.785095,3.255376,1.531983,2.185111,zero 
4.561862,8.472989,8.01929,8.018772,9.080595,7.513115,8.112278,8.664092,7.914132,8.770652,0.697423,5.703494,1.229116,1.449439,1.932165,1.72704,1.932393,2.915717,1.831786,1.824054,zero 
4.345347,8.37229,8.116274,8.230525,8.924218,7.468547,8.117105,8.338419,8.114669,8.674883,0.692486,5.989744,1.221208,1.26734,1.877114,1.702057,2.032545,3.403847,1.913572,1.969347,zero 
