p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,label
6.189625,8.551599,8.764983,8.672266,9.05442,8.108211,8.172381,8.923079,8.745919,8.129981,2.548666,5.233252,2.313677,1.960913,2.45277,2.296733,2.440839,3.257331,2.37199,2.613929,zero 
7.039268,8.318971,9.03389,9.065116,9.703416,8.834574,9.450396,9.645091,9.4488,9.140282,2.932016,6.083988,2.868309,2.891689,2.921122,2.886973,2.880719,3.942526,3.068598,3.138879,zero 
6.617311,7.239915,7.841125,7.66194,8.475647,7.842467,8.421017,8.233861,8.270045,7.963614,2.729981,5.450801,2.816725,2.588583,2.763457,2.574354,2.903737,3.625801,2.894523,2.858639,zero 
7.362075,8.397147,9.065295,8.576233,9.015962,8.141122,8.671525,9.021457,9.055691,8.358078,3.08534,5.966106,3.825204,3.745059,3.649068,3.335523,4.246677,4.365508,3.103466,3.8606,zero 
7.541545,8.949549,9.066302,8.78412,9.134285,8.620607,8.805038,8.847781,9.014411,8.129998,3.016683,5.253096,2.716905,2.484625,3.300647,2.586268,2.992398,4.015918,2.830572,3.581386,zero 
8.050177,9.837651,10.370658,10.198476,10.850096,10.020192,10.298364,10.154023,9.995817,9.666084,3.256811,6.489044,3.174783,2.910368,3.207032,3.014462,4.246732,4.30579,3.753488,3.543203,zero 
6.535951,7.639124,7.81122,7.57297,7.717134,6.980657,7.282402,7.770223,7.657349,7.181782,2.455212,4.708975,2.284534,2.072387,2.696352,2.655353,3.12555,3.337713,2.363541,2.870962,zero 
6.299179,6.888643,7.382159,7.119167,7.209321,6.759848,7.167244,7.044487,7.303291,6.602061,2.241054,4.439831,2.58459,2.183668,2.823018,2.101118,2.55644,3.222692,2.431442,2.829309,zero 
6.88108,7.968757,7.865253,7.329683,7.601737,6.914032,7.210929,7.327695,7.301409,6.645769,2.512993,3.936917,2.404036,1.985714,2.490573,2.220055,3.1522,2.884141,2.111437,2.764268,zero 
5.900743,7.340539,8.12511,7.909125,8.240408,7.418597,8.051666,8.215709,8.139543,7.471583,2.518329,5.293709,2.442017,2.352717,2.87855,2.721473,2.993895,3.407698,2.532888,2.965194,zero 
6.191511,8.204154,8.358409,8.265178,8.609195,7.643811,8.014048,8.436415,8.154737,7.64884,2.550779,4.785338,2.327121,1.923584,2.433733,2.482591,2.623035,3.270355,2.312127,2.67378,zero 
7.352019,7.931339,7.547853,7.346325,7.580423,6.920985,6.674447,7.27589,7.13601,6.549777,2.457775,3.936388,2.143994,1.876458,2.176,2.182546,2.528886,2.899133,2.160826,2.754772,zero 
6.455683,8.869312,8.593572,8.420738,8.89129,7.977964,8.118284,8.730119,8.428723,7.974168,2.773209,4.949052,2.530313,2.196076,2.5465,2.568788,2.967628,3.680228,2.627417,3.031538,zero 
6.174305,8.836128,9.504159,9.190337,9.59836,8.756512,9.444628,9.367487,9.135862,8.646983,2.826775,5.892608,2.716143,2.388716,2.809165,2.506733,3.398013,3.624279,2.698286,2.774056,zero 
6.477976,7.990021,9.102371,9.035249,9.124119,8.674574,9.358209,9.240781,9.188697,8.424297,2.839054,6.297681,2.800595,2.865884,3.261965,2.747522,3.201991,3.753556,2.968279,3.271304,zero 
6.556261,7.536614,8.675727,8.811148,9.03437,8.342254,8.701117,8.314376,8.592659,7.977965,3.033481,6.115208,2.91361,2.92606,3.146379,2.965283,3.272438,3.951739,3.468309,3.442824,zero 
