p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, p15, p16, p17, p18, p19, p20, label 
7.563413,8.077510,8.942776,8.715547,8.597279,7.665228,8.429866,8.640294,9.201771,8.801168,1.999838,6.153904,2.375834,2.645393,3.898564,3.637683,4.045545,4.387197,2.471923,4.276242,zero 
7.253429,7.151507,6.999936,6.741161,6.510866,5.682782,6.433702,6.302085,6.611107,6.034355,1.280288,2.922457,1.264545,1.614443,2.425992,2.158390,2.461415,2.581954,1.522760,2.654707,zero 
7.034723,5.960509,6.954277,7.149090,6.908835,6.563521,7.044415,7.200699,7.342094,7.364214,1.787740,5.369890,2.707187,2.543283,2.891564,2.864982,2.657533,3.363175,2.679674,2.926414,zero 
7.212941,8.668067,9.482553,10.198643,10.453307,9.291936,9.556912,9.850764,9.649594,10.347385,1.582961,7.888426,2.709318,3.160712,2.982287,3.393794,3.472403,3.814706,4.015434,3.289364,zero 
6.442161,8.430825,9.216487,9.677477,9.794668,9.269133,9.286142,9.019434,9.559350,9.510693,1.874355,7.536149,2.772903,2.841564,3.467144,2.401785,2.903727,3.557631,3.052584,3.171547,zero 
6.126684,7.845642,8.555845,8.536997,8.590318,7.565222,7.995421,9.059867,8.600983,8.974740,2.008156,7.058966,2.504105,2.676780,3.451218,3.546775,3.412235,3.943312,2.968979,3.586905,zero 
6.489434,6.383070,8.418299,8.229237,8.178845,7.151655,8.812301,7.621956,8.210767,7.974759,1.347351,6.681908,3.009590,3.526660,4.033468,3.240020,2.110912,4.029157,3.864046,3.810760,zero 
6.839325,8.945681,10.108842,10.107829,10.754531,9.649137,10.205826,9.852013,9.909479,10.496990,1.589262,8.012530,2.852100,3.148333,3.327862,3.002483,3.438913,3.481214,3.712896,2.851805,zero 
8.256207,6.624267,8.180357,8.601744,7.129633,7.616822,8.290981,7.372806,8.140205,7.344482,2.847248,6.201596,1.946044,2.161233,3.414542,3.112372,3.703568,3.967163,2.924248,3.991490,zero 
6.604757,8.056554,8.143275,8.503493,8.246389,7.525039,8.126123,8.553007,8.179057,8.542234,1.599091,5.759135,2.533704,2.286010,3.402240,2.821110,2.566776,4.348709,2.347507,3.629790,zero 
